"Data_Source","Data_Genre","Year","Latitude","Longitude","CSSC_Order","Horizon_Number","Horizon","Upper","Lower","Organic_C","pH_CaCl2","Sand","Silt","Clay"
"NPD",1,"1962",45.36672,-75.51633,"Podzolic","8","C3",102,127,0.05,"5.2",96,2,2
"NPD",1,"1962",45.36672,-75.51633,"Podzolic","4","Bf1",5,20,1.85,"5",88,6,6
"NPD",1,"1962",45.36672,-75.51633,"Podzolic","3","Ae",0,5,0.81,"3.8",90,9,3
"NPD",1,"1962",45.50005,-75.44966,"Gleysolic","3","Cg2",10,38,0.3,"6.6",5,22,73
"NPD",1,"1962",45.45005,-75.44966,"Gleysolic","3","Bfg",5,15,0.6,"5.3",6,45,50
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","5","BCk",50,75,0.4,"7",21,43,36
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","6","Ck",75,95,0.3,"7",26,44,30
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","1","Ah",0,10,3.9,"5.6",24,55,21
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","4","Bt",30,50,0.5,"4.8",15,55,40
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","2","Ae",10,20,0.8,"4.1",22,57,21
"NPD",1,"1966",43.43339,-79.83315,"Luvisolic","3","AB",20,30,0.5,"4",20,53,27
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","5","BCk",50,65,0.5,"7",44,40,16
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","6","Ck",65,100,0.2,"7",47,39,14
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","4","Bt",25,50,0.8,"6.9",35,40,25
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","1","Ah",0,15,4.1,"6.8",36,48,16
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","2","Ahe",15,20,1.6,"6.6",35,50,15
"NPD",1,"1966",43.68338,-80.24984,"Luvisolic","3","AB",20,25,1.9,"6.6",38,39,23
"NPD",1,"1968",45.46671,-75.533,"Gleysolic","4","Bg",35,50,0.2,"5.5",82,14,4
"NPD",1,"1968",45.46671,-75.533,"Gleysolic","1","Ah",0,8,5.3,"5.2",50,44,6
"NPD",1,"1968",45.46671,-75.533,"Gleysolic","3","Bgf",18,35,0.3,"5",65,28,7
"NPD",1,"1968",45.46671,-75.533,"Gleysolic","2","Aeg",8,18,0.9,"4.8",55,41,4
"NPD",1,"1970",43.0459,-80.42832,"Gleysolic","2","Aeg",13,25,0.58,"7.4",59,32,9
"NPD",1,"1970",43.0459,-80.42832,"Gleysolic","3","Bt1",25,33,0.23,"7.4",73,15,12
"NPD",1,"1970",43.0459,-80.42832,"Gleysolic","4","Bmg1",33,45,0.41,"7.4",64,23,1
"NPD",1,"1970",43.0459,-80.42832,"Gleysolic","1","Ah",0,13,4.88,"7.3",57,34,9
"NPD",1,"1970",43.0459,-80.42832,"Gleysolic","5","Bm2",45,58,0.17,"7.3",75,18,7
"NPD",1,"1970",43.15349,-80.52203,"Gleysolic","1","Ah",0,15,3.19,"7.3",79,14,7
"NPD",1,"1970",43.15349,-80.52203,"Gleysolic","2","Ae1",15,25,1.05,"7.1",88,7,5
