"SSID","CSSC_Order","Latitude","Longitude","Upper","Lower","SoilPrints_Nested"
"dpmp","Gleysolic",42.1306,-82.78324,0,23,"bd4c9d082e9aef76d0f4112ea3c06055275fa3323e33b1662bb4e8782b8e3e50"
"dpmp","Luvisolic",42.08256,-82.62357,0,31,"4db1bee6b24eec307fad821e428adcdfec9e1b54c8a766ac5bd5e31dffb524e9"
"dpmp","Luvisolic",42.08256,-82.62357,31,61,"6e95ac10929664aabae0f378ec8f718e52163647d53a8dccb24e5fbc7c689a38"
"dpmp","Luvisolic",42.08256,-82.62357,61,86,"8f9aefec469fa5bb63c5ebdfe2541328d0f63ba40cddb3f19a26c77a0b728cd3"
"dpmr","Brunisolic",42.07494,-82.58892,0,25,"0865058540f8a5ed541c980b622e6e4aa257d451ffabc4bcd8e54429f09deebd"
"dpmr","Brunisolic",42.07494,-82.58892,25,55,"0e0e627aff17ce02da2e9e1fc21bbae6c933b0e8d4a3ce8261a3dfae1c826daa"
"dpmr","Brunisolic",42.07494,-82.58892,55,95,"a52b0804512ff077c37d83a2632ee929789175271bd6ba1e7296695421530795"
"dpmr","Brunisolic",42.07494,-82.58892,95,110,"fec7e64ecff1ad1687e450d5c967abba50ebed0659a1015cceed8d98187a5002"
"dpmr","Gleysolic",42.16942,-82.52894,0,16,"f18742ff6fd8e55cfaf3b0a1375fd3c789f5bedf0da3d2e446520b2c03ca3eeb"
"dpmr","Gleysolic",42.15668,-82.53831,0,30,"68578200bf101e3700c64cae4715a613a5ace7740054014ac4fd5c18d7b6a31c"
"dpmr","Gleysolic",42.13086,-82.51591,0,25,"34e2759beb0a2032b2103bb267965289fe6cc483b6e7b59c6c6287d9ed70de4c"
"dpmr","Gleysolic",42.16942,-82.52894,16,45,"1e46d662220e040567e1bec29ecdf7ab4c6196a058b07d76bb2acae7c4a56dfe"
"dpmr","Gleysolic",42.15668,-82.53831,30,60,"44bcf57bca61ad6a9c2ca8e2a81d88a67d8887989ae7a1ce5d30fa5552431496"
"dpmr","Gleysolic",42.13086,-82.51591,25,75,"8d7f8cfb23eaae72621158322c2cf9c2f94eb95cc05891670712e2595d18e3b6"
"dpmr","Gleysolic",42.16942,-82.52894,45,116,"8bf1d115a2accbd409f798b1c3790694e458702466d1c26492d667fd299a5143"
"dpmr","Gleysolic",42.13086,-82.51591,75,100,"23d6806a80c3a193e3b41419bd5ea57561d725e7222a6c2c16ce988671aa2640"
"dpmr","Luvisolic",42.07032,-82.56463,0,30,"4d5fee697d764302aeed0eed87cbca58526e5c3a8144fae897ac575f6fedd02a"
"dpmr","Luvisolic",42.06207,-82.54207,0,21,"f21a717d45164eb021fd349c7258fdc504495e2ebcc22f2e95eee49c859eb984"
"dpmr","Luvisolic",42.12557,-82.50731,0,28,"27de87144885eb3717d9131eab58f8d9d49a78764fc10e6737af8ac6796610a6"
"dpmr","Luvisolic",42.16816,-82.55554,0,20,"be672880af2bc5edc109e5da7e3c74ee7390a59a84f1b21455775b9a8254fb31"
